name,AP,P@1,P@5,P@10,index
BM25,0.06206528019892167,0.0,0.028571428571428574,0.042857142857142864,Original
TF-IDF,0.08010336732722419,0.0,0.08571428571428572,0.07142857142857142,Original
PL2,0.0792592165830087,0.0,0.08571428571428572,0.08571428571428572,Original
DLH,0.07608749867483311,0.14285714285714285,0.08571428571428572,0.05714285714285715,Original
DFRee,0.07436600461734413,0.0,0.05714285714285715,0.05714285714285715,Original
DirichletLM,0.07656790998819306,0.0,0.08571428571428572,0.07142857142857142,Original
DFIZ,0.06829163467257195,0.0,0.05714285714285715,0.05714285714285715,Original
LGD,0.0753238099321721,0.0,0.05714285714285715,0.05714285714285715,Original
"BM25 (k1=0.9,b=0.3)",0.0625230379323791,0.0,0.028571428571428574,0.042857142857142864,Original
BM25,0.06518028344905615,0.0,0.028571428571428574,0.05714285714285715,Stemmed
TF-IDF,0.07780872189877222,0.0,0.1142857142857143,0.07142857142857142,Stemmed
PL2,0.07959353201077006,0.0,0.1142857142857143,0.11428571428571428,Stemmed
DLH,0.07092660302977742,0.0,0.08571428571428572,0.05714285714285715,Stemmed
DFRee,0.07458691847597265,0.0,0.08571428571428573,0.07142857142857142,Stemmed
DirichletLM,0.07709183795029297,0.0,0.1142857142857143,0.08571428571428572,Stemmed
DFIZ,0.06804397890351609,0.0,0.08571428571428573,0.07142857142857142,Stemmed
LGD,0.07474521034749713,0.0,0.08571428571428573,0.07142857142857142,Stemmed
"BM25 (k1=0.9,b=0.3)",0.06470089262109395,0.0,0.028571428571428574,0.05714285714285715,Stemmed
BM25,0.06318022658048252,0.0,0.028571428571428574,0.042857142857142864,Lemmatized
TF-IDF,0.07590758479583438,0.0,0.08571428571428572,0.05714285714285715,Lemmatized
PL2,0.07717237542499657,0.0,0.08571428571428572,0.08571428571428572,Lemmatized
DLH,0.07177289032711169,0.14285714285714285,0.05714285714285715,0.05714285714285715,Lemmatized
DFRee,0.07225498249368331,0.0,0.05714285714285715,0.05714285714285715,Lemmatized
DirichletLM,0.07425955795319468,0.0,0.08571428571428572,0.07142857142857142,Lemmatized
DFIZ,0.06559395280928643,0.0,0.05714285714285715,0.05714285714285715,Lemmatized
LGD,0.07226415574225477,0.0,0.05714285714285715,0.05714285714285715,Lemmatized
"BM25 (k1=0.9,b=0.3)",0.06316610098390081,0.0,0.028571428571428574,0.042857142857142864,Lemmatized
